Anio,Codigo,Departamento,Población,Camas de hospitalización,Camas de observación,Consultorios de consulta externa,Consultorios en el servicio de urgencias,Mesas de partos,Número de unidades de odontología,Salas de quirófanos,Camas de hospitalización/Habitantes,Camas de observación/Habitantes,Consultorios de consulta externa/Habitantes,Consultorios en el servicio de urgencias/Habitantes,Mesas de partos/Habitantes,Número de unidades de odontología/Habitantes,Salas de quirófanos/Habitantes
2007,97.0,Vaupés,27881.0,28,6,4,1,1,4,1,100.43,21.52,14.35,3.59,3.59,14.35,3.59
2007,99.0,Vichada,82315.0,92,12,19,7,7,16,5,111.77,14.58,23.08,8.5,8.5,19.44,6.07
2008,91.0,Amazonas,63291.0,89,29,31,18,9,18,11,140.62,45.82,48.98,28.44,14.22,28.44,17.38
2008,5.0,Antioquia,5662099.0,3100,738,1021,220,169,435,73,54.75,13.03,18.03,3.89,2.98,7.68,1.29
2008,81.0,Arauca,224996.0,188,46,70,14,9,32,9,83.56,20.44,31.11,6.22,4.0,14.22,4.0
2008,8.0,Atlántico,2204364.0,684,133,179,36,33,64,11,31.03,6.03,8.12,1.63,1.5,2.9,0.5
2008,11.0,"Bogotá, D.C.",6960512.0,2786,376,803,118,38,283,68,40.03,5.4,11.54,1.7,0.55,4.07,0.98
2008,13.0,Bolívar,1867503.0,610,291,327,78,72,148,19,32.66,15.58,17.51,4.18,3.86,7.93,1.02
2008,15.0,Boyacá,1154747.0,856,232,458,414,69,1522,26,74.13,20.09,39.66,35.85,5.98,131.8,2.25
2008,17.0,Caldas,987759.0,937,160,258,59,47,137,20,94.86,16.2,26.12,5.97,4.76,13.87,2.02
2008,18.0,Caquetá,386392.0,335,94,96,17,19,38,6,86.7,24.33,24.85,4.4,4.92,9.83,1.55
